Cell,area_x,Y,X,area_y,perimeter,major_axis_length,minor_axis_length,eccentricity,solidity,extent,circularity,aspect_ratio,DAPI_mean,DAPI_median,DAPI_std,DAPI_p10,DAPI_p90,DAPI_sum,Alexa_mean,Alexa_median,Alexa_std,Alexa_p10,Alexa_p90,Alexa_sum,Cy3_mean,Cy3_median,Cy3_std,Cy3_p10,Cy3_p90,Cy3_sum,Alexa_pos,Cy3_pos,Cy3_organel_area_px,Cy3_puncta_count,Above_bg,Region
1,1306.0,194.1508422664625,752.1983154670751,1306.0,133.7401153701776,44.92716922614047,37.14775686936829,0.5624314414815598,0.9768137621540763,0.8244949494949495,0.9175498191414365,1.2094180917606634,0.16106650233268738,0.0,0.2337990254163742,0.0,0.4889156371355057,210.3528594970703,0.12526927888393402,0.0,0.2062487006187439,0.0,0.4330146759748459,163.6016845703125,0.4089949131011963,0.42787206172943115,0.09255894273519516,0.27665875852108,0.510955810546875,534.1473388671875,True,True,0,11,True,Marginal
2,1264.0,39.80696202531646,936.0775316455696,1264.0,131.9827560572969,44.19431588596133,36.63356585954927,0.5593667185796447,0.9768160741885626,0.797979797979798,0.9118482141882206,1.206388590600202,0.17151911556720734,0.2153089940547943,0.18825803697109222,0.0,0.46024317145347593,216.8001708984375,0.11488757282495499,0.0,0.1876494437456131,0.0,0.4003441244363785,145.2178955078125,0.5231764912605286,0.5408006310462952,0.16846273839473724,0.30338892340660095,0.7470003366470337,661.2951049804688,False,True,0,10,True,Anterior
3,1196.0,232.9732441471572,748.0510033444816,1196.0,127.98275605729688,40.72365122288374,37.57293088835467,0.38568222216858195,0.9723577235772358,0.7868421052631579,0.9175677208339746,1.0838561235451984,0.17709089815616608,0.0,0.24319010972976685,0.0,0.4889155924320221,211.80072021484375,0.12418612837791443,0.0,0.20657692849636078,0.0,0.4237762987613678,148.526611328125,0.45555660128593445,0.47030335664749146,0.14301127195358276,0.26879969239234924,0.6359529197216034,544.845703125,True,True,0,10,True,Marginal
4,1879.0,49.78924960085152,778.1527408195849,1879.0,162.12489168102783,56.58881029806876,42.39457013648582,0.6623791472679948,0.9791558103178739,0.7988945578231292,0.8983327778556889,1.3348126921887815,0.2320394366979599,0.0,0.28136351704597473,0.0,0.6808592796325683,436.0021057128906,0.13369636237621307,0.0,0.22000102698802948,0.0,0.470161783695221,251.2154541015625,0.4542497396469116,0.47113290429115295,0.10601577162742615,0.3054926574230194,0.5801620960235596,853.5352783203125,True,True,0,22,True,Anterior
5,1112.0,75.68794964028777,821.7787769784172,1112.0,125.05382386916236,43.1160739357587,33.013641689485524,0.6432071582204235,0.969485614646905,0.7388704318936877,0.8935537858572327,1.3060078115977942,0.17665350437164307,0.0,0.2109043449163437,0.0,0.3287434488534927,196.43869018554688,0.10791753232479095,0.0,0.18021418154239655,0.0,0.3554185926914215,120.0042953491211,0.4877454936504364,0.4507112205028534,0.17085674405097961,0.2747426241636276,0.7282914400100707,542.3729858398438,False,True,0,10,True,Anterior
6,1030.0,426.34757281553397,866.9281553398058,1030.0,120.22539674441617,39.645201296181675,33.494555324038735,0.5349910210008361,0.9716981132075472,0.7336182336182336,0.895477443826428,1.1836312174512935,0.16017256677150726,0.0,0.2436772584915161,0.0,0.5154663741588592,164.9777374267578,0.1225527822971344,0.0,0.1953473538160324,0.0,0.40443314909934996,126.22936248779297,0.42143014073371887,0.43397361040115356,0.09908051043748856,0.2878309190273285,0.5445059299468994,434.07305908203125,False,True,0,10,True,Marginal
7,957.0,44.64576802507837,895.5172413793103,957.0,114.81118318204308,40.10408979549345,30.405181089779056,0.6520724978787347,0.9745417515274949,0.74765625,0.9123330685691207,1.3189886841020908,0.09739147126674652,0.0,0.13540993630886078,0.0,0.26557275652885437,93.2036361694336,0.11147688329219818,0.0,0.18480372428894043,0.0,0.38027535676956165,106.68338012695312,0.4950887858867645,0.5256475806236267,0.12674987316131592,0.32512289881706236,0.6428107380867004,473.7999572753906,False,True,0,9,True,Anterior
8,410.0,625.4975609756098,138.37073170731708,410.0,73.94112549695427,23.871666635411565,22.050562163233916,0.38308590089690314,0.9624413145539906,0.7765151515151515,0.9423703360205996,1.0825876664139689,0.1937403678894043,0.0,0.24805495142936707,0.0,0.6715052366256714,79.43354797363281,0.11309801787137985,0.0,0.20036666095256805,0.0,0.42561204433441163,46.37018585205078,0.5278874039649963,0.5085844993591309,0.1666180044412613,0.31073435544967654,0.7727980613708496,216.433837890625,False,True,0,4,True,Marginal
9,1950.0,170.5774358974359,643.5953846153847,1950.0,166.8528137423857,60.19071741104288,41.2927400862345,0.7275716521099684,0.9808853118712274,0.75115562403698,0.8801919772017602,1.4576585928989556,0.19096411764621735,0.20689547061920166,0.19383178651332855,0.0,0.4218954712152481,372.3800354003906,0.12784601747989655,0.0,0.20944799482822418,0.0,0.44277308881282806,249.29974365234375,0.3173603117465973,0.32217222452163696,0.04654308408498764,0.24546047002077104,0.35800699293613436,618.8526000976562,True,True,0,15,True,Anterior
10,1146.0,225.86910994764398,188.91797556719024,1146.0,126.9116882454314,42.40378595942074,34.559325022595644,0.579453013553725,0.9687235841081995,0.8025210084033614,0.8941105903385427,1.2269853630444523,0.18483884632587433,0.0,0.2558518052101135,0.0,0.5183472484350204,211.8253173828125,0.11751209199428558,0.0,0.1967291384935379,0.0,0.39733095467090607,134.66885375976562,0.4524567127227783,0.4531509280204773,0.12616433203220367,0.2912691533565521,0.6043075323104858,518.515380859375,False,True,0,9,True,Marginal
