Cell,area_x,Y,X,area_y,perimeter,major_axis_length,minor_axis_length,eccentricity,solidity,extent,circularity,aspect_ratio,DAPI_mean,DAPI_median,DAPI_std,DAPI_p10,DAPI_p90,DAPI_sum,Alexa_mean,Alexa_median,Alexa_std,Alexa_p10,Alexa_p90,Alexa_sum,Cy3_mean,Cy3_median,Cy3_std,Cy3_p10,Cy3_p90,Cy3_sum,Alexa_pos,Cy3_pos,Cy3_organel_area_px,Cy3_puncta_count,Above_bg,Region
1,523.0,947.8413001912046,25.50095602294455,523.0,88.91168824543142,34.04501163206224,19.67048753166114,0.8161933626013904,0.9596330275229358,0.6440886699507389,0.8313690249321996,1.7307660309519128,0.373627245426178,0.3899422883987427,0.3801228106021881,0.0,0.9952055811882021,195.40704345703125,0.1349475085735321,0.0,0.23843425512313843,0.0,0.5097736239433289,70.57754516601562,0.7584724426269531,0.87032151222229,0.25583481788635254,0.3356197774410248,1.0,396.68109130859375,True,True,0,2,True,Marginal
2,349.0,914.0974212034384,405.9942693409742,349.0,67.94112549695427,21.298043244601274,20.957461351131293,0.17812001351220547,0.9587912087912088,0.7554112554112554,0.9501010913471641,1.0162511044521905,0.2564540207386017,0.24742230772972107,0.24597422778606415,0.0,0.5070804476737976,89.50245666503906,0.11167483776807785,0.0,0.19486120343208313,0.0,0.4181363940238949,38.974517822265625,0.5383599400520325,0.5774648785591125,0.14564532041549683,0.2888991951942444,0.6936630487442017,187.8876190185547,True,True,0,2,True,Marginal
3,2069.0,580.7172547124214,792.9545674238763,2069.0,174.36753236814712,60.89622947467613,43.44215245714318,0.700777403437546,0.9736470588235294,0.7512708787218592,0.8551437219323635,1.4017774449539961,0.07475780695676804,0.0,0.16352710127830505,0.0,0.31158571839332583,154.6739044189453,0.1390678733587265,0.0,0.21823468804359436,0.0,0.46861167550086974,287.7314147949219,0.31563857197761536,0.30929669737815857,0.08250609040260315,0.2228144198656082,0.40188804864883426,653.0562133789062,True,False,0,20,True,Anterior
4,421.0,551.0356294536817,134.70546318289786,421.0,75.35533905932738,25.273896376829313,21.403763851964154,0.5317962334886353,0.9611872146118722,0.7654545454545455,0.9316738442569481,1.1808155122450583,0.17065738141536713,0.0,0.2750539779663086,0.0,0.6793155074119568,71.84675598144531,0.10165530443191528,0.0,0.18047142028808594,0.0,0.3326166570186615,42.79688262939453,0.7025169730186462,0.7517513036727905,0.19198299944400787,0.3956560790538788,0.9189386963844299,295.7596435546875,True,True,0,3,True,Anterior
5,530.0,41.4188679245283,87.43584905660377,530.0,105.11269837220809,45.62101704445914,15.102190834965368,0.943618188238364,0.9330985915492958,0.7085561497326203,0.6028029422478275,3.0208211207896416,0.12661774456501007,0.0,0.26733899116516113,0.0,0.5955384552478791,67.10740661621094,0.1234239712357521,0.0,0.20008587837219238,0.0,0.4184777557849889,65.41470336914062,0.37021541595458984,0.30938202142715454,0.15594825148582458,0.2513418734073639,0.6714639067649841,196.21417236328125,True,True,0,6,True,Anterior
6,1178.0,533.0611205432937,795.4524617996605,1178.0,131.49747468305833,48.63259938235875,31.30023543340362,0.7653569402268164,0.9800332778702163,0.8180555555555555,0.8560917843986431,1.553745481749892,0.21820643544197083,0.0,0.27607738971710205,0.0,0.595397812128067,257.04718017578125,0.09905882924795151,0.0,0.17930901050567627,0.0,0.32078160643577575,116.69129943847656,0.5513326525688171,0.5834560990333557,0.17021313309669495,0.3020510315895081,0.7398915886878967,649.4698486328125,True,True,0,11,True,Anterior
7,426.0,232.83098591549296,187.69248826291079,426.0,76.18376618407356,25.725609483542502,21.192554293515983,0.5668920075533186,0.9594594594594594,0.7447552447552448,0.9223475240183484,1.2138984818556506,0.26890552043914795,0.0,0.3500846028327942,0.0,0.9623819291591644,114.55374908447266,0.08925916254520416,0.0,0.15680038928985596,0.0,0.3380569964647293,38.0244026184082,0.84257972240448,0.9742798805236816,0.2117242068052292,0.46742458641529083,1.0,358.93896484375,False,True,0,2,True,Anterior
8,179.0,793.1564245810056,753.536312849162,179.0,51.21320343559643,18.631045693790814,12.855102601690662,0.7238256852344379,0.9322916666666666,0.7649572649572649,0.8576281165957675,1.4493113179307116,0.4112387001514435,0.39998236298561096,0.3891366720199585,0.0,0.8355691194534302,73.61172485351562,0.1239730715751648,0.0,0.21296696364879608,0.0,0.47692821025848403,22.191179275512695,0.6908859014511108,0.675414502620697,0.19408951699733734,0.44153502583503723,0.949447500705719,123.6685791015625,True,True,0,1,True,Marginal
9,223.0,157.3542600896861,956.4887892376681,223.0,53.45584412271571,18.686831934704333,15.199227388698665,0.5817527853268867,0.9612068965517241,0.7743055555555556,0.9806732819550205,1.2294593308472288,0.3588098883628845,0.38772568106651306,0.30308541655540466,0.0,0.7892369270324707,80.01460266113281,0.09166273474693298,0.0,0.17350517213344574,0.0,0.3384467005729676,20.4407901763916,0.7138987183570862,0.724896252155304,0.1364409476518631,0.5192812800407409,0.8919109821319581,159.1994171142578,False,True,0,1,True,Anterior
10,1959.0,808.6380806533946,389.5007656967841,1959.0,171.48023074035524,64.61597063295814,38.91223365485189,0.7983394717896971,0.9765702891326022,0.6495358090185677,0.8371748665473556,1.6605567083631372,0.14086079597473145,0.0,0.18155328929424286,0.0,0.4044034779071808,275.9462890625,0.12662404775619507,0.0,0.2017902135848999,0.0,0.4117017686367035,248.0565185546875,0.3003987669944763,0.2986668646335602,0.0848890021443367,0.18698583841323851,0.4085169196128845,588.481201171875,True,False,0,23,True,Marginal
