Region,N,Alexa_pos_count,Cy3_pos_count,Coexpress_count,Sox2_pos_count,Alexa_mean_median,Cy3_mean_median,DAPI_mean_median,Alexa_pos_percent,Cy3_pos_percent,Coexpress_percent,Sox2_pos_percent
Anterior,77,35,67,28,67,0.12299817055463791,0.37123963236808777,0.17151911556720734,45.45454545454545,87.01298701298701,36.36363636363637,87.01298701298701
Marginal,73,30,68,28,68,0.12301511317491531,0.3863842189311981,0.1848115622997284,41.0958904109589,93.15068493150685,38.35616438356164,93.15068493150685
