Cell,area_x,Y,X,area_y,perimeter,major_axis_length,minor_axis_length,eccentricity,solidity,extent,circularity,aspect_ratio,DAPI_mean,DAPI_median,DAPI_std,DAPI_p10,DAPI_p90,DAPI_sum,Alexa_mean,Alexa_median,Alexa_std,Alexa_p10,Alexa_p90,Alexa_sum,Cy3_mean,Cy3_median,Cy3_std,Cy3_p10,Cy3_p90,Cy3_sum,Alexa_pos,Cy3_pos,Cy3_organel_area_px,Cy3_puncta_count,Above_bg,Region
1,1490.0,745.579865771812,380.6020134228188,1490.0,151.92388155425118,52.38233567083482,37.650381196600286,0.6952572122552879,0.944233206590621,0.6351236146632566,0.8112300634033645,1.391283009787024,0.16197943687438965,0.0,0.21162094175815582,0.0,0.5045162498950958,241.349365234375,0.11075566709041595,0.0,0.19047905504703522,0.0,0.3677776515483856,165.02593994140625,0.29292821884155273,0.27650538086891174,0.08645511418581009,0.19816913157701493,0.4228511273860932,436.4630432128906,True,True,0,18,True,Marginal
2,2153.0,135.60613098002787,468.8169995355318,2153.0,182.79393923933998,65.50948403526071,42.7821961007507,0.7572986351189364,0.9573143619386394,0.6229745370370371,0.8097115042787565,1.531232381829768,0.15350662171840668,0.0,0.2043837159872055,0.0,0.39176909923553466,330.499755859375,0.08595314621925354,0.0,0.16792790591716766,0.0,0.2844720125198364,185.05712890625,0.3153272271156311,0.2655157446861267,0.19661900401115417,0.145542111992836,0.5395194053649902,678.8995361328125,True,True,0,18,True,Anterior
3,1191.0,288.80520570948784,100.37867338371117,1191.0,127.7401153701776,42.79728726340327,35.50621721676123,0.558303040706736,0.9770303527481542,0.810204081632653,0.9172062752551028,1.20534629195025,0.12734907865524292,0.0,0.22734425961971283,0.0,0.4082103967666626,151.67276000976562,0.0781966969370842,0.0,0.12616083025932312,0.0,0.24632754921913147,93.13226318359375,0.3651087284088135,0.3400035500526428,0.11511099338531494,0.257808119058609,0.5153310894966125,434.844482421875,True,True,0,16,True,Anterior
4,2488.0,231.83319935691318,116.56028938906752,2488.0,198.55129855222071,63.981349832546435,52.16273652217236,0.5790664645299715,0.9514340344168261,0.6462337662337663,0.7930759434645528,1.226571957269735,0.1379120796918869,0.0,0.19543278217315674,0.0,0.39063520431518556,343.125244140625,0.09561876207590103,0.0,0.1667720228433609,0.0,0.3069306015968324,237.89947509765625,0.30556520819664,0.30311745405197144,0.09272824227809906,0.18497483432292938,0.4029365748167038,760.2462158203125,True,True,0,25,True,Anterior
5,1080.0,653.1342592592592,26.539814814814815,1080.0,121.98275605729691,40.27268467852693,34.81002495307742,0.5028766392653488,0.9800362976406534,0.7714285714285715,0.9120879886180581,1.1569277739045853,0.1345844715833664,0.0,0.21293671429157257,0.0,0.5177162528038025,145.35122680664062,0.09603657573461533,0.0,0.16958896815776825,0.0,0.31738252341747286,103.7195053100586,0.349576473236084,0.3137695789337158,0.13047508895397186,0.20090888440608978,0.5584614634513855,377.5426025390625,True,True,0,10,True,Marginal
6,840.0,107.19642857142857,132.51190476190476,840.0,111.1543289325507,39.5908762063886,27.281950286954306,0.7246692035565085,0.9699769053117783,0.7272727272727273,0.8543511098592318,1.4511747067188294,0.1893846094608307,0.11204515397548676,0.22862045466899872,0.0,0.4755110710859299,159.08306884765625,0.0643208920955658,0.0,0.10840154439210892,0.0,0.2041756942868233,54.0295524597168,0.33860182762145996,0.32969528436660767,0.09644532203674316,0.2152872085571289,0.4830329120159149,284.425537109375,False,True,0,7,True,Anterior
7,317.0,355.9116719242902,358.6687697160883,317.0,63.11269837220809,21.130643068798914,19.102097420166366,0.42753284656936735,0.9783950617283951,0.7944862155388471,1.0000820415467353,1.1061949169252472,0.24447497725486755,0.16214722394943237,0.2831360101699829,0.0,0.6506956458091736,77.49856567382812,0.11740953475236893,0.0,0.1839248538017273,0.0,0.37825377583503733,37.21882247924805,0.6989743113517761,0.7019776701927185,0.21168282628059387,0.40930768847465515,0.9910157680511474,221.57485961914062,True,True,0,1,True,Anterior
8,758.0,977.4920844327177,819.6754617414248,758.0,118.42640687119285,50.68998110743073,19.146306075341943,0.9259223914651832,0.9558638083228247,0.758,0.6791754265938552,2.6475070913398335,0.11602135002613068,0.0,0.1695435643196106,0.0,0.4079896479845047,87.94418334960938,0.10078095644712448,0.0,0.1730462610721588,0.0,0.3358288496732712,76.3919677734375,0.6673010587692261,0.6480560898780823,0.26027870178222656,0.31059416234493253,1.0,505.814208984375,True,True,0,3,True,Marginal
9,684.0,973.8187134502924,702.3172514619883,684.0,99.35533905932738,34.84872131378433,25.521301743659436,0.6809333104913443,0.9688385269121813,0.8047058823529412,0.8707300769583701,1.3654758547902917,0.14205336570739746,0.0,0.2716594934463501,0.0,0.6461374044418335,97.16450500488281,0.15632638335227966,0.0,0.23737825453281403,0.0,0.5265433728694916,106.92724609375,0.6812250018119812,0.737811267375946,0.19233587384223938,0.41009457111358644,0.8973421454429626,465.9579162597656,True,True,0,9,True,Marginal
10,363.0,256.8099173553719,761.404958677686,363.0,68.76955262170047,21.98037479194149,21.040888958565915,0.2892355068136641,0.9654255319148937,0.75,0.9645485465377496,1.0446504819841798,0.21282614767551422,0.24958179891109467,0.26347970962524414,0.0,0.5139466762542725,77.25588989257812,0.09940244257450104,0.0,0.170035719871521,0.0,0.35485866069793703,36.08308792114258,0.5976443290710449,0.5834611654281616,0.11247288435697556,0.476293021440506,0.7413558840751648,216.9449005126953,True,True,0,4,True,Anterior
