Cell,area_x,Y,X,area_y,perimeter,major_axis_length,minor_axis_length,eccentricity,solidity,extent,circularity,aspect_ratio,DAPI_mean,DAPI_median,DAPI_std,DAPI_p10,DAPI_p90,DAPI_sum,Alexa_mean,Alexa_median,Alexa_std,Alexa_p10,Alexa_p90,Alexa_sum,Cy3_mean,Cy3_median,Cy3_std,Cy3_p10,Cy3_p90,Cy3_sum,Alexa_pos,Cy3_pos,Cy3_organel_area_px,Cy3_puncta_count,Above_bg,Region
30,603.0,129.35157545605307,433.8756218905473,603.0,91.01219330881975,31.162173676454444,24.71651270477687,0.6090165289184765,0.963258785942492,0.7701149425287356,0.9148039159373254,1.2607835922756143,0.20536164939403534,0.0,0.29765889048576355,0.0,0.6593298554420473,123.83307647705078,0.06428323686122894,0.0,0.11060531437397003,0.0,0.27086145877838136,38.76279067993164,0.2565016746520996,0.2373361438512802,0.10962289571762085,0.1336458295583725,0.40799487829208375,154.67050170898438,True,True,0,8,True,Anterior
31,721.0,366.81969486823857,333.43411927877946,721.0,100.42640687119285,35.64032851563976,25.996396073044576,0.6840772651844711,0.9730094466936572,0.7923076923076923,0.8983576694420539,1.3709718999317329,0.1443932056427002,0.0,0.21656908094882965,0.0,0.5010257959365845,104.10749816894531,0.041952189058065414,0.0,0.081939697265625,0.0,0.13728496432304382,30.247528076171875,0.6239250898361206,0.6639956831932068,0.15170182287693024,0.39267498254776,0.785603940486908,449.8500061035156,True,True,0,6,True,Anterior
32,1043.0,340.4161073825503,926.4611697027805,1043.0,121.1543289325507,40.78769132571724,32.762331437932694,0.5956546551592053,0.9720410065237651,0.764102564102564,0.8929277081600927,1.2449569226472286,0.21659770607948303,0.2510462999343872,0.2347218245267868,0.0,0.5138897776603699,225.91140747070312,0.09569606184959412,0.0,0.14142470061779022,0.0,0.22975056171417238,99.81098937988281,0.4661655128002167,0.46128594875335693,0.16706566512584686,0.24762398898601531,0.701804792881012,486.21063232421875,True,True,0,5,True,Anterior
33,1193.0,186.76278290025147,957.7485331098072,1193.0,128.22539674441617,41.77400119740561,36.39954425811393,0.4906718279667445,0.9738775510204082,0.7848684210526315,0.9118054940448388,1.147651764571026,0.18658524751663208,0.0,0.2544415593147278,0.0,0.5549013018608093,222.59619140625,0.08830500394105911,0.0,0.10559077560901642,0.0,0.16565223634243012,105.34786987304688,0.2593226134777069,0.26066508889198303,0.04941066727042198,0.1942021667957306,0.3228626251220703,309.37188720703125,True,True,0,10,True,Anterior
34,620.0,959.9709677419355,280.5016129032258,620.0,101.49747468305833,39.01763018467788,21.1357678974677,0.840573255140305,0.9295352323838081,0.6526315789473685,0.7562947397427957,1.84604743834988,0.0818365141749382,0.0,0.12922003865242004,0.0,0.2760018199682236,50.73863983154297,0.07131758332252502,0.0,0.14154373109340668,0.0,0.22806680500507362,44.21690368652344,0.5174370408058167,0.3877372145652771,0.33173108100891113,0.1653680130839348,0.9915502727031709,320.81097412109375,True,True,0,5,True,Marginal
35,640.0,345.5109375,622.6640625,640.0,97.84062043356595,38.17147551505815,21.473376047522564,0.8267630429368258,0.9726443768996961,0.7314285714285714,0.8401395735072572,1.7776187326380886,0.19197098910808563,0.16162768006324768,0.2178693562746048,0.0,0.48808201849460603,122.86143493652344,0.02656671404838562,0.0,0.05608810484409332,0.0,0.07250651493668557,17.002696990966797,0.7188093066215515,0.7523271441459656,0.2571706473827362,0.33895170986652373,1.0,460.0379638671875,False,True,0,2,True,Anterior
36,989.0,349.901921132457,889.9807886754297,989.0,114.91168824543142,37.224418670762745,33.906115944780254,0.4127224702006769,0.9763079960513327,0.8080065359477124,0.9411909556870736,1.0978673797785243,0.1768842190504074,0.0,0.2520188093185425,0.0,0.5437490582466126,174.93849182128906,0.08407432585954666,0.0,0.1414458453655243,0.0,0.22763961553573608,83.14950561523438,0.4965290129184723,0.5229558348655701,0.1515941172838211,0.2721926212310791,0.6766015529632569,491.06719970703125,True,True,0,12,True,Anterior
37,582.0,705.4501718213058,565.8659793814433,582.0,91.01219330881975,32.20237726073066,23.37030589690345,0.6879771816738135,0.9667774086378738,0.7509677419354839,0.8829450730937368,1.377918517745951,0.11038527637720108,0.0,0.19620190560817719,0.0,0.4887086749076843,64.24423217773438,0.09131883829832077,0.0,0.14859239757061005,0.0,0.3108608961105347,53.14756393432617,0.2504977285861969,0.2348022758960724,0.0678519606590271,0.160083869099617,0.3479643791913986,145.7896728515625,True,True,0,5,True,Marginal
38,1238.0,444.73021001615507,734.2770597738288,1238.0,135.4386001800126,46.90513828856468,34.0444905732007,0.687889105385605,0.9687010954616588,0.664876476906552,0.8480971342648354,1.377760028093582,0.17056137323379517,0.0,0.22469203174114227,0.0,0.5393898248672485,211.1549835205078,0.052221301943063736,0.0,0.06851471215486526,0.0,0.13210031688213345,64.64997100830078,0.5759239196777344,0.6092925071716309,0.2059583067893982,0.25286647081375124,0.799955105781555,712.9938354492188,True,True,0,6,True,Anterior
39,1339.0,250.56609410007468,591.9858103061987,1339.0,136.3259018078045,43.30353412860691,39.56645709762432,0.40638842492063737,0.9724037763253449,0.8174603174603174,0.9053858077826278,1.0944506358444455,0.1364162266254425,0.0,0.2159508317708969,0.0,0.496483588218689,182.6613311767578,0.06219920143485069,0.0,0.10552208125591278,0.0,0.25384690761566164,83.28472900390625,0.207830548286438,0.21152520179748535,0.0442352257668972,0.1436355471611023,0.2621568441390991,278.28509521484375,True,True,0,8,True,Anterior
40,497.0,365.19114688128775,270.01810865191146,497.0,82.18376618407356,28.012648051575727,22.83325740879368,0.579312849970906,0.9669260700389105,0.7717391304347826,0.9246857687029567,1.2268353809556463,0.07583457976579666,0.0,0.13414266705513,0.0,0.17720195055007934,37.68978500366211,0.05567435547709465,0.0,0.09728826582431793,0.0,0.1977579057216645,27.670154571533203,0.7817947864532471,0.8188360333442688,0.16561280190944672,0.5417135715484619,0.9627959847450256,388.552001953125,True,True,0,3,True,Anterior
