Region,N,Alexa_pos_count,Cy3_pos_count,Coexpress_count,Sox2_pos_count,Alexa_mean_median,Cy3_mean_median,DAPI_mean_median,Alexa_pos_percent,Cy3_pos_percent,Coexpress_percent,Sox2_pos_percent
Anterior,275,238,221,193,221,0.0759948268532753,0.311993807554245,0.17737066745758057,86.54545454545455,80.36363636363636,70.18181818181817,80.36363636363636
Marginal,261,231,222,199,222,0.0749920904636383,0.243113711476326,0.18385536968708038,88.50574712643679,85.0574712643678,76.24521072796935,85.0574712643678
